trial,score,p_target,p30,p40,p50,complete_rate,median_days,fastest,breach_rate,n
72,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
73,1022.0,0.84,0.84,0.84,0.96,1.0,18,6,0.0,25
74,1023.0,0.84,0.84,0.84,0.84,1.0,17,6,0.0,25
75,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
76,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
77,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
78,903.0,0.72,0.72,0.92,0.96,1.0,17,6,0.0,25
79,847.0,0.68,0.68,0.8,0.84,0.92,17,6,0.0,25
80,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
81,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
82,-125000.0,0.0,0.0,0.0,0.0,0.0,,,0.125,8
83,860.0,0.68,0.68,0.8,0.84,1.0,20,7,0.0,25
84,903.0,0.72,0.72,0.92,0.96,1.0,17,6,0.0,25
85,706.0,0.56,0.56,0.68,0.76,0.84,22,7,0.0,25
86,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
87,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
88,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
89,670.0,0.52,0.52,0.64,0.68,0.88,26,10,0.0,25
90,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
91,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
92,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
93,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
94,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
95,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
96,-62000.0,0.0,0.0,0.0,0.0,0.0,,,0.062,16
97,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
98,1014.0,0.84,0.84,0.84,0.96,0.96,18,7,0.0,25
99,885.0,0.72,0.72,0.8,0.8,0.92,19,7,0.0,25
100,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
101,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
102,1022.0,0.84,0.84,0.84,0.92,1.0,18,6,0.0,25
103,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
104,847.0,0.68,0.68,0.8,0.84,0.92,17,6,0.0,25
105,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
106,-250000.0,0.0,0.0,0.0,0.0,0.0,,,0.25,4
107,-167000.0,0.0,0.0,0.0,0.0,0.0,,,0.167,12
